Vietnamese,English
Con gặp bạn.,The child meets a friend.
Bố gặp bạn.,Dad meets a friend.
Mẹ gặp bạn bè.,Mom meets friends.
Con đi chơi với bạn.,The child goes out with a friend.
Bố đi gặp bạn.,Dad goes to meet a friend.
Bạn ở đây.,The friend is here.
Bạn ở đó.,The friend is there.
Con nghe mẹ nói.,The child hears mom speak.
Mẹ đang nói chuyện.,Mom is talking.
Bố đang nói.,Dad is speaking.
Con không nghe rõ.,The child can’t hear clearly.
Con nghe rồi.,The child heard it.
Con nghe hiểu rồi.,The child understands now.
Con biết rồi.,The child knows now.
Con không biết.,The child doesn’t know.
Con hiểu rồi.,The child understands.
Con chưa hiểu.,The child doesn’t understand yet.
Bố biết rồi.,Dad knows already.
Con đi ra ngoài.,The child goes outside.
Con đang ra ngoài.,The child is going outside.
Con về đây.,The child comes here.
Con về đó.,The child goes there.
Bố về nhà rồi.,Dad has come home.
Mẹ đang về nhà.,Mom is coming home.
Con ở quán.,The child is at a café.
Bố ở quán.,Dad is at a café.
Mẹ đang ở quán.,Mom is at the café.
Con đi ra quán.,The child goes out to the café.
Con về nhà từ quán.,The child comes home from the café.
Mọi người ở đây.,Everyone is here.
Mọi người đang nói chuyện.,Everyone is talking.
Mọi người về rồi.,Everyone has gone home.
Bạn bè ở đây.,Friends are here.
Bạn bè đang nói chuyện.,Friends are talking.
Con nói rồi ạ.,The child has spoken (politely).
Con nghe rồi ạ.,The child has heard (politely).
"Dạ, con biết rồi.","Yes, the child knows now."
Con hiểu không?,Do you understand?
Con nghe rõ không?,Can you hear clearly?
Bố về chưa?,Has dad come home yet?
Mẹ đang ở đâu?,Where is mom?
Bạn đang ở đâu?,Where is the friend?
Con ở đây hay ở đó.,The child is here or there.
Con đi ra ngoài hay ở nhà.,The child goes out or stays home.
Con đang nói hay đang nghe.,The child is speaking or listening.
Con hiểu hay chưa hiểu.,The child understands or doesn’t yet.
Con biết rồi nhé.,"The child knows now, okay."
Con hiểu rồi nhé.,"The child understands now, okay."
Con về nhà nhé.,"The child is going home, okay."
Bây giờ con về nhà rồi.,Now the child has come home.
Bây giờ mọi người về rồi.,Now everyone has gone home.
Con là người Việt.,The child is Vietnamese.
Bố là người Việt.,Dad is Vietnamese.
Mẹ là người Việt.,Mom is Vietnamese.
Bạn là người Việt.,The friend is Vietnamese.
Con nói tiếng Việt.,The child speaks Vietnamese.
Con nghe tiếng Việt.,The child hears Vietnamese.
Con hiểu tiếng Việt.,The child understands Vietnamese.
Con học tiếng Việt.,The child learns Vietnamese.
Con đang học tiếng Việt.,The child is learning Vietnamese.
