Arabic,English
أنا بحاجة إلى وقت للتفكير.,I need time to think.
هذا أمر مهم بالنسبة لي.,This is important to me.
سأحاول أن أفهم ما يحدث.,I will try to understand what is happening.
لا أعرف السبب.,I do not know the reason.
حدث هذا قبل وقت قصير.,This happened a short time ago.
سنرى ما سيحدث لاحقًا.,We will see what happens later.
ليس من السهل اتخاذ القرار.,It is not easy to make a decision.
ما زلت أنتظر الرد.,I am still waiting for the reply.
هذا يعتمد على الظروف.,This depends on the circumstances.
من الأفضل أن نبدأ الآن.,It is better to start now.
وصلت إلى البيت متأخرًا.,I arrived home late.
كان من الممكن أن يكون الأمر أسوأ.,It could have been worse.
في النهاية، كل شيء يتغير.,In the end, everything changes.
لم يكن لدي خيار آخر.,I had no other choice.
يجب أن نكون صبورين.,We must be patient.
حدث ذلك بدون سابق إنذار.,That happened without prior warning.
من الواضح أن هناك مشكلة.,It is clear that there is a problem.
هذا ما كنت أبحث عنه.,This is what I was looking for.
سأعود بعد قليل.,I will come back shortly.
لا داعي للقلق.,There is no need to worry.
الأمر يستغرق وقتًا.,The matter takes time.
لم أكن متأكدًا من النتيجة.,I was not sure of the outcome.
كان الجو هادئًا.,The atmosphere was calm.
بدأ الناس يتحدثون عن الموضوع.,People started talking about the matter.
هذا ليس ضروريًا الآن.,This is not necessary now.
من الصعب شرح ذلك.,It is difficult to explain that.
كل شخص له رأيه.,Everyone has their own opinion.
كان ذلك متوقعًا.,That was expected.
لم يحدث شيء مهم.,Nothing important happened.
سأفكر في الأمر.,I will think about it.
كان علينا أن ننتظر.,We had to wait.
هذا مختلف تمامًا.,This is completely different.
أشعر أن شيئًا ما تغير.,I feel that something has changed.
لا أوافق على هذا.,I do not agree with this.
كان الوقت مناسبًا.,The timing was right.
لم أفهم الفكرة جيدًا.,I did not understand the idea well.
من الممكن أن نعيد المحاولة.,It is possible to try again.
هذا لا معنى له.,This makes no sense.
كان الأمر بسيطًا.,The matter was simple.
لم يكن أحد يعرف.,No one knew.
سأشرح لك لاحقًا.,I will explain to you later.
هذا يكفي.,This is enough.
كان من الصعب القبول بذلك.,It was difficult to accept that.
لم أسمع بهذا من قبل.,I have not heard of this before.
كل شيء على ما يرام.,Everything is fine.
تغير الوضع بسرعة.,The situation changed quickly.
لم يكن هناك وقت كافٍ.,There was not enough time.
هذا ما حدث بالفعل.,This is what actually happened.
